input,target_header,target_description
"Ordu Fındığı, traditional Turkish hazelnut from Ordu region",Ordu Fındığı - Traditional Turkish Hazelnut,"- Enjoy the rich flavor and crunchy texture of Ordu Fındığı, traditional Turkish hazelnut from the Ordu region. Perfect for snacking or baking, it's a delicious and healthy treat."
"Osmaniye Kebabı, traditional Turkish dish from Osmaniye region",Osmaniye Kebabı - Traditional Turkish Dish,"- Try the delicious Osmaniye Kebabı, a traditional Turkish dish from the Osmaniye region. Made with meat and spices, it's a hearty and delicious meal."
"Rize Çayı, traditional Turkish tea from Rize region",Rize Çayı - Traditional Turkish Tea,"- Warm up with the soothing flavor of Rize Çayı, traditional Turkish tea from the Rize region. Made with black tea leaves, it's a comforting and delicious beverage."
"Sakarya Kebabı, traditional Turkish dish from Sakarya region",Sakarya Kebabı - Traditional Turkish Dish,"- Experience the flavors of Sakarya Kebabı, a traditional Turkish dish from the Sakarya region. Made with meat and spices, it's a hearty and delicious meal."
"Samsun Kebabı, traditional Turkish dish from Samsun region",Samsun Kebabı - Traditional Turkish Dish,"- Try the delicious Samsun Kebabı, a traditional Turkish dish from the Samsun region. Made with meat and spices, it's a hearty and delicious meal."
"Siirt Kebabı, traditional Turkish dish from Siirt region",Siirt Kebabı - Traditional Turkish Dish,"- Experience the flavors of Siirt Kebabı, a traditional Turkish dish from the Siirt region. Made with meat and spices, it's a hearty and delicious meal."
"Sinop Kebabı, traditional Turkish dish from Sinop region",Sinop Kebabı - Traditional Turkish Dish,"- Try the delicious Sinop Kebabı, a traditional Turkish dish from the Sinop region. Made with meat and spices, it's a hearty and delicious meal."
"Sivas Kangal Kebabı, traditional Turkish dish from Sivas region",Sivas Kangal Kebabı - Traditional Turkish Dish,"- Experience the flavors of Sivas Kangal Kebabı, a traditional Turkish dish from the Sivas region. Made with meat and spices, it's a hearty and delicious meal."
"Tekirdağ Rakısı, traditional Turkish spirit from Tekirdağ region",Tekirdağ Rakısı - Traditional Turkish Spirit,"- Enjoy the strong flavor of Tekirdağ Rakısı, traditional Turkish spirit from the Tekirdağ region. Made with grapes and aniseed, it's a popular and delicious beverage."
"Tokat Kebabı, traditional Turkish dish from Tokat region",Tokat Kebabı - Traditional Turkish Dish,"- Try the delicious Tokat Kebabı, a traditional Turkish dish from the Tokat region. Made with meat and spices, it's a hearty and delicious meal."
"Trabzon Hamsisi, traditional Turkish anchovy from Trabzon region",Trabzon Hamsisi - Traditional Turkish Anchovy,"- Enjoy the salty flavor and crunchy texture of Trabzon Hamsisi, traditional Turkish anchovy from the Trabzon region. Perfect for snacking or adding to salads, it's a delicious and healthy treat."
"Tunceli Kebabı, traditional Turkish dish from Tunceli region",Tunceli Kebabı - Traditional Turkish Dish,"- Experience the flavors of Tunceli Kebabı, a traditional Turkish dish from the Tunceli region. Made with meat and spices, it's a hearty and delicious meal."
"Uşak Kebabı, traditional Turkish dish from Uşak region",Uşak Kebabı - Traditional Turkish Dish,"- Try the delicious Uşak Kebabı, a traditional Turkish dish from the Uşak region. Made with meat and spices, it's a hearty and delicious meal."
"Van Kebabı, traditional Turkish dish from Van region",Van Kebabı - Traditional Turkish Dish,"- Experience the flavors of Van Kebabı, a traditional Turkish dish from the Van region. Made with meat and spices, it's a hearty and delicious meal."
"Yalova Kebabı, traditional Turkish dish from Yalova region",Yalova Kebabı - Traditional Turkish Dish,"- Try the delicious Yalova Kebabı, a traditional Turkish dish from the Yalova region. Made with meat and spices, it's a hearty and delicious meal."
"Yozgat Çemeni, traditional Turkish cheese from Yozgat region",Yozgat Çemeni - Traditional Turkish Cheese,"- Enjoy the rich flavor and creamy texture of Yozgat Çemeni, traditional Turkish cheese from the Yozgat region. Perfect for snacking or adding to salads, it's a delicious and healthy treat."
"Zonguldak Karadeniz Kebabı, traditional Turkish dish from Zonguldak region",Zonguldak Karadeniz Kebabı - Traditional Turkish Dish,"- Experience the flavors of Zonguldak Karadeniz Kebabı, a traditional Turkish dish from the Zonguldak region. Made with meat and spices, it's a hearty and delicious meal."
"Antalya Kebap, traditional Turkish dish from Antalya region",Antalya Kebap - Traditional Turkish Dish,"- Experience the flavors of Turkey with Antalya Kebap, a traditional dish from the Antalya region. Made with tender meat and spices, it's a must-try for any food lover."
"Aydın İnciri, sweet and juicy figs from Aydın region",Aydın İnciri - Sweet and Juicy Figs,"- Indulge in the sweetness of Aydın İnciri, figs from the Aydın region of Turkey. Known for their juicy texture and sweet flavor, they're perfect for snacking or baking."
"Bursa İskender Kebap, famous Turkish dish from Bursa region",Bursa İskender Kebap - Famous Turkish Dish,"- Try the iconic Bursa İskender Kebap, a famous Turkish dish from the Bursa region. Made with thinly sliced meat and served with pita bread, it's a culinary experience you won't forget."
"İzmir Boyoz, traditional Turkish pastry from İzmir region",İzmir Boyoz - Traditional Turkish Pastry,"- Try the delicious İzmir Boyoz, a traditional Turkish pastry from the İzmir region. Made with flaky dough and filled with cheese or spinach, it's a tasty breakfast or snack option."
"Mardin Kebap, traditional Turkish dish from Mardin region",Mardin Kebap - Traditional Turkish Dish,"- Experience the flavors of Mardin Kebap, a traditional Turkish dish from the Mardin region. Made with meat and spices, it's a hearty and delicious meal."
"Muğla Sıra Zeytini, traditional Turkish olive oil from Muğla region",Muğla Sıra Zeytini - Traditional Turkish Olive Oil,"- Indulge in the rich flavor of Muğla Sıra Zeytini, traditional Turkish olive oil from the Muğla region. Perfect for cooking or as a finishing oil, it's a delicious and healthy addition to any meal."
"Samsun Terme Kebap, traditional Turkish dish from Samsun region",Samsun Terme Kebap - Traditional Turkish Dish,"- Experience the flavors of Samsun Terme Kebap, a traditional Turkish dish from the Samsun region. Made with meat and spices, it's a hearty and delicious meal."
"Sinop Çarşamba Kebap, traditional Turkish dish from Sinop region",Sinop Çarşamba Kebap - Traditional Turkish Dish,"- Try the delicious Sinop Çarşamba Kebap, a traditional Turkish dish from the Sinop region. Made with meat and spices, it's a hearty and delicious meal."
"Sivas Kangal Kebap, traditional Turkish dish from Sivas region",Sivas Kangal Kebap - Traditional Turkish Dish,"- Experience the flavors of Sivas Kangal Kebap, a traditional Turkish dish from the Sivas region. Made with meat and spices, it's a hearty and delicious meal."
"500ml organic lavender shampoo, sulfate-free, enriched with essential oils for soft and shiny hair",500ml Organic Lavender Shampoo - Sulfate-Free,"- This 500ml organic lavender shampoo is sulfate-free and enriched with essential oils, leaving your hair soft and shiny.

- Ideal for daily use, it provides a gentle cleanse while nourishing your hair with natural ingredients."
"Leather wallet for men with RFID protection, multiple card slots, and a coin pocket",Men’s Leather Wallet with RFID Protection,"- A sleek leather wallet for men, designed with RFID protection to safeguard your personal information.

- Features multiple card slots and a coin pocket, perfect for organizing your essentials."
"24-piece stainless steel cutlery set, includes knives, forks, spoons, and teaspoons, dishwasher safe",24-Piece Stainless Steel Cutlery Set - Dishwasher Safe,"- This 24-piece stainless steel cutlery set includes knives, forks, spoons, and teaspoons for your everyday dining needs.

- Dishwasher safe and built to last, this set is perfect for both casual meals and special occasions."
"Pack of 5 cotton muslin swaddle blankets, breathable, soft, and machine washable, 100x100cm each",5-Pack Cotton Muslin Swaddle Blankets - 100x100cm,"- These breathable and soft cotton muslin swaddle blankets come in a pack of 5, perfect for keeping your baby comfortable.

- Each blanket measures 100x100cm and is machine washable for easy care."
"Wireless gaming mouse with 7 programmable buttons, adjustable DPI up to 16000, RGB lighting","Wireless Gaming Mouse - 7 Buttons, RGB, 16000 DPI","- Enhance your gaming experience with this wireless mouse featuring 7 programmable buttons and adjustable DPI up to 16000.

- The RGB lighting adds a personalized touch to your setup, making it perfect for gamers."
"2-person inflatable kayak with oars and hand pump, made from durable puncture-resistant material",2-Person Inflatable Kayak - Includes Oars & Pump,"- This 2-person inflatable kayak is made from durable, puncture-resistant material, perfect for recreational paddling.

- Comes with oars and a hand pump, making it easy to inflate and get on the water quickly."
"Set of 6 ceramic dinner plates, microwave and dishwasher safe, 28cm diameter",Set of 6 Ceramic Dinner Plates - Microwave Safe,"- This set of 6 ceramic dinner plates is microwave and dishwasher safe, combining convenience and style.

- Each plate has a 28cm diameter, perfect for serving meals in a modern dining setup."
"120ml anti-aging face serum with hyaluronic acid and vitamin C, for radiant and firm skin",120ml Anti-Aging Face Serum - Hyaluronic Acid & Vitamin C,"- This 120ml anti-aging face serum combines hyaluronic acid and vitamin C to hydrate and firm your skin.

- Perfect for daily use, it helps reduce fine lines and brightens your complexion, leaving it radiant."
"Adjustable yoga mat with carrying strap, made from eco-friendly material, non-slip surface",Eco-Friendly Yoga Mat with Carrying Strap - Non-Slip,"- This adjustable yoga mat is made from eco-friendly material with a non-slip surface, providing stability for your practice.

- Comes with a carrying strap for easy transport, making it perfect for yoga on the go."
"Electric citrus juicer with 1-liter capacity, easy-pour spout, and detachable parts for easy cleaning","Electric Citrus Juicer - 1L Capacity, Easy Clean","- Freshly squeeze your favorite citrus fruits with this electric juicer featuring a 1-liter capacity and easy-pour spout.

- Detachable parts make cleaning effortless, ensuring convenience in your kitchen."
"Set of 2 microfiber bath towels, quick-drying, ultra-absorbent, and soft to the touch",Set of 2 Microfiber Bath Towels - Quick-Drying,"- These ultra-absorbent microfiber bath towels dry quickly and feel soft against the skin.

- Perfect for everyday use, they’re lightweight and durable, offering long-lasting quality."
"Stainless steel kitchen knife set with wooden block, 5-piece set includes chef’s knife, bread knife, and paring knife",5-Piece Stainless Steel Kitchen Knife Set with Block,"- This 5-piece stainless steel kitchen knife set comes with a wooden block for organized storage.

- Includes essential knives like a chef’s knife, bread knife, and paring knife for all your culinary needs."
"3-piece luggage set with spinner wheels, includes cabin, medium, and large suitcases, made from lightweight and durable material",3-Piece Luggage Set with Spinner Wheels,"- Travel in style with this 3-piece luggage set featuring spinner wheels for easy maneuverability.

- Includes cabin, medium, and large suitcases made from lightweight yet durable material, ideal for long trips."
"Digital kitchen scale with LCD display, 5kg capacity, measures in grams and ounces, tare function","Digital Kitchen Scale - 5kg Capacity, LCD Display","- This digital kitchen scale features an LCD display and a 5kg capacity, perfect for accurate measurements.

- Measures in grams and ounces, and includes a tare function for easy ingredient weighing."
"120ml peppermint essential oil, 100% pure, suitable for aromatherapy and topical use",120ml Peppermint Essential Oil - 100% Pure,"- This 120ml bottle of peppermint essential oil is 100% pure, perfect for aromatherapy or topical use.

- Its refreshing scent and natural properties make it ideal for relaxation and wellness."
"Set of 3 non-stick baking trays, heat-resistant up to 230°C, dishwasher safe",Set of 3 Non-Stick Baking Trays - Heat-Resistant,"- This set of 3 non-stick baking trays is heat-resistant up to 230°C, perfect for baking cookies, cakes, and more.

- Dishwasher safe for easy cleaning and long-lasting use in your kitchen."
"Electric standing desk, height adjustable with memory settings, ergonomic design",Height Adjustable Electric Standing Desk - Ergonomic Design,"- Improve your workspace with this electric standing desk featuring height adjustment and memory settings.

- The ergonomic design helps reduce strain, making it perfect for a healthier work environment."
Pair of wireless over-ear headphones with active noise cancellation and 30-hour battery life,"Wireless Over-Ear Headphones - Noise Cancelling, 30-Hour Battery","- Experience immersive sound with these wireless over-ear headphones featuring active noise cancellation.

- With a 30-hour battery life, they’re perfect for long listening sessions without interruption."
"Stainless steel insulated water bottle, 750ml capacity, keeps drinks cold for 24 hours or hot for 12 hours",750ml Stainless Steel Insulated Water Bottle,"- Keep your drinks cold for up to 24 hours or hot for 12 hours with this 750ml stainless steel insulated water bottle.

- Ideal for on-the-go hydration, it’s designed to last with its durable and eco-friendly material."
"Set of 4 stackable plastic storage bins, ideal for organizing closets or garages, durable and easy to clean",Set of 4 Stackable Plastic Storage Bins,"- Organize your space with this set of 4 stackable plastic storage bins, perfect for closets or garages.

- Durable and easy to clean, they provide a practical solution for storing household items."
"Electric hair trimmer with adjustable blade length, rechargeable battery, and ergonomic design","Electric Hair Trimmer - Rechargeable, Adjustable Blades","- Achieve precise grooming with this electric hair trimmer, featuring adjustable blade lengths and a rechargeable battery.

- The ergonomic design ensures comfortable handling, perfect for at-home haircuts."
"Stainless steel cookware set, 10-piece set with pots, pans, and glass lids, suitable for all stove types",10-Piece Stainless Steel Cookware Set with Glass Lids,"- This 10-piece stainless steel cookware set includes pots, pans, and glass lids, suitable for all stove types.

- Durable and easy to clean, it’s perfect for preparing everyday meals with professional quality."
"Bluetooth smart watch with heart rate monitor, GPS, and fitness tracking features, compatible with iOS and Android",Bluetooth Smart Watch - Heart Rate Monitor & GPS,"- Stay active with this Bluetooth smart watch, featuring a heart rate monitor, GPS, and fitness tracking.

- Compatible with both iOS and Android, it helps you track your health and stay connected on the go."
"Set of 4 glass food storage containers with airtight lids, microwave and dishwasher safe",Set of 4 Glass Food Storage Containers - Airtight & Microwave Safe,"- Store your leftovers with this set of 4 glass food storage containers, featuring airtight lids to keep food fresh.

- Microwave and dishwasher safe, they are ideal for meal prep and everyday use."
"Portable 4000mAh power bank, fast charging, slim design, compatible with USB devices",4000mAh Portable Power Bank - Fast Charging,"- Charge your devices on the go with this slim 4000mAh portable power bank, offering fast charging for all USB devices.

- Its compact design makes it easy to carry in your bag or pocket, perfect for travel."
"Set of 2 LED table lamps with touch control and dimmable settings, includes USB charging port",Set of 2 LED Table Lamps - Touch Control & USB Port,"- Light up your space with this set of 2 LED table lamps, featuring touch control and dimmable settings for customized lighting.

- Each lamp includes a USB charging port, perfect for bedside or office use."
"Pack of 3 men’s boxer briefs, breathable cotton blend, elastic waistband for comfort","3-Pack Men’s Boxer Briefs - Cotton Blend, Elastic Waistband","- Stay comfortable with this 3-pack of men’s boxer briefs, made from a breathable cotton blend with an elastic waistband.

- Ideal for everyday wear, offering support and softness throughout the day."
"Electric handheld milk frother with stainless steel whisk, battery-operated, easy to clean",Electric Handheld Milk Frother - Stainless Steel Whisk,"- Create perfect foam for your coffee with this electric handheld milk frother, featuring a stainless steel whisk.

- Battery-operated and easy to clean, it’s a must-have for any coffee lover."
"Soft fleece throw blanket, 150x200cm, machine washable, available in multiple colors",150x200cm Soft Fleece Throw Blanket - Machine Washable,"- Cozy up with this soft fleece throw blanket, available in multiple colors and measuring 150x200cm.

- Machine washable and lightweight, it’s perfect for adding warmth and style to any room."
"Pack of 12 natural beeswax tealight candles, unscented, burn time of 4 hours each",12-Pack Natural Beeswax Tealight Candles - Unscented,"- Light up your space with this pack of 12 natural beeswax tealight candles, offering a clean and unscented burn.

- Each candle has a burn time of 4 hours, perfect for creating a relaxing atmosphere."
"Electric space heater with adjustable thermostat, tip-over protection, and quiet operation","Electric Space Heater - Adjustable Thermostat, Quiet Operation","- Keep warm with this electric space heater, featuring an adjustable thermostat and quiet operation.

- With tip-over protection, it ensures safe use in any room of your home."
"Non-stick silicone baking mat, reusable and heat-resistant up to 260°C, easy to clean",Non-Stick Silicone Baking Mat - Reusable & Heat-Resistant,"- This non-stick silicone baking mat is reusable and heat-resistant up to 260°C, perfect for baking without the need for parchment paper.

- Easy to clean, it’s a sustainable option for all your baking needs."
"Pack of 6 cotton dish towels, absorbent and quick-drying, machine washable",6-Pack Cotton Dish Towels - Absorbent & Quick-Drying,"- Keep your kitchen clean with this pack of 6 cotton dish towels, absorbent and quick-drying for everyday use.

- Machine washable for easy care, they’re durable and designed to last."
"Set of 3 reusable stainless steel straws with cleaning brush, eco-friendly and BPA-free",Set of 3 Stainless Steel Reusable Straws - Eco-Friendly & BPA-Free,"- Sip sustainably with this set of 3 stainless steel reusable straws, perfect for reducing plastic waste.

- BPA-free and easy to clean with the included brush, they’re ideal for eco-conscious households."
"2L glass pitcher with lid, heat-resistant and perfect for serving hot or cold beverages",2L Glass Pitcher with Lid - Heat-Resistant,"- Serve your favorite beverages with this 2L glass pitcher, designed to be heat-resistant for both hot and cold drinks.

- Its sleek design and lid make it perfect for entertaining guests or everyday use."
"Portable electric grill with non-stick cooking surface, adjustable temperature control, and removable drip tray",Portable Electric Grill - Non-Stick Surface & Adjustable Temperature,"- Grill indoors with this portable electric grill, featuring a non-stick cooking surface and adjustable temperature control.

- Includes a removable drip tray for easy cleanup, making it perfect for small spaces."
"Double-sided makeup mirror with LED lighting, magnification options, and adjustable angle",Double-Sided Makeup Mirror with LED Lighting - Adjustable Angle,"- Get ready with ease using this double-sided makeup mirror, featuring LED lighting and magnification options.

- Its adjustable angle allows for perfect positioning, making it an essential tool for your beauty routine."
